# venue=衛武營國家音樂廳
section,row,seat,type,price
"1樓2號門","1","2","regular","3300"
"1樓2號門","1","4","regular","3300"
"1樓2號門","1","6","regular","3300"
"1樓2號門","1","8","regular","3300"
"1樓2號門","1","10","regular","3300"
"1樓2號門","1","12","regular","3300"
"1樓1號門","1","5","regular","3300"
"1樓1號門","1","3","regular","3300"
"1樓1號門","1","1","regular","3300"
"1樓1號門","1","11","regular","3300"
"1樓1號門","1","9","regular","3300"
"1樓1號門","1","7","regular","3300"
"1樓2號門","2","2","regular","3300"
"1樓2號門","2","4","regular","3300"
"1樓2號門","2","6","regular","3300"
"1樓1號門","2","5","regular","3300"
"1樓1號門","2","3","regular","3300"
"1樓1號門","2","1","regular","3300"
"1樓1號門","2","11","regular","3300"
"1樓1號門","2","9","regular","3300"
"1樓1號門","2","7","regular","3300"
"1樓2號門","2","8","regular","3300"
"1樓2號門","2","10","regular","3300"
"1樓2號門","3","2","regular","4500"
"1樓2號門","3","4","regular","4500"
"1樓2號門","3","6","regular","4500"
"1樓2號門","3","8","regular","4500"
"1樓2號門","3","10","regular","4500"
"1樓2號門","3","12","regular","4500"
"1樓1號門","3","5","regular","4500"
"1樓1號門","3","3","regular","4500"
"1樓1號門","3","1","regular","4500"
"1樓1號門","3","11","regular","4500"
"1樓1號門","3","9","regular","4500"
"1樓1號門","3","7","regular","4500"
"1樓2號門","4","2","regular","4500"
"1樓2號門","4","4","regular","4500"
"1樓2號門","4","6","regular","4500"
"1樓1號門","4","5","regular","4500"
"1樓1號門","4","3","regular","4500"
"1樓1號門","4","1","regular","4500"
"1樓1號門","4","11","regular","4500"
"1樓1號門","4","9","regular","4500"
"1樓1號門","4","7","regular","4500"
"1樓2號門","4","8","regular","4500"
"1樓2號門","4","10","regular","4500"
"1樓2號門","5","2","regular","4500"
"1樓2號門","5","4","regular","4500"
"1樓2號門","5","6","regular","4500"
"1樓2號門","5","8","regular","4500"
"1樓2號門","5","10","regular","4500"
"1樓2號門","5","12","regular","4500"
"1樓1號門","5","5","regular","4500"
"1樓1號門","5","3","regular","4500"
"1樓1號門","5","1","regular","4500"
"1樓1號門","5","11","regular","4500"
"1樓1號門","5","9","regular","4500"
"1樓1號門","5","7","regular","4500"
"1樓2號門","6","2","regular","4500"
"1樓2號門","6","4","regular","4500"
"1樓2號門","6","6","regular","4500"
"1樓1號門","6","5","regular","4500"
"1樓1號門","6","3","regular","4500"
"1樓1號門","6","1","regular","4500"
"1樓1號門","6","11","regular","4500"
"1樓1號門","6","9","regular","4500"
"1樓1號門","6","7","regular","4500"
"1樓2號門","6","8","regular","4500"
"1樓2號門","6","10","regular","4500"
"1樓2號門","7","2","regular","4500"
"1樓2號門","7","4","regular","4500"
"1樓2號門","7","6","regular","4500"
"1樓2號門","7","8","regular","4500"
"1樓2號門","7","10","regular","4500"
"1樓2號門","7","12","regular","4500"
"1樓1號門","7","5","regular","4500"
"1樓1號門","7","3","regular","4500"
"1樓1號門","7","1","regular","4500"
"1樓1號門","7","11","regular","4500"
"1樓1號門","7","9","regular","4500"
"1樓1號門","7","7","regular","4500"
"1樓2號門","8","2","regular","4500"
"1樓2號門","8","4","regular","4500"
"1樓2號門","8","6","regular","4500"
"1樓1號門","8","5","regular","4500"
"1樓1號門","8","3","regular","4500"
"1樓1號門","8","1","regular","4500"
"1樓1號門","8","11","regular","4500"
"1樓1號門","8","9","regular","4500"
"1樓1號門","8","7","regular","4500"
"1樓2號門","8","8","regular","4500"
"1樓2號門","8","10","regular","4500"
"1樓2號門","9","2","regular","4500"
"1樓2號門","9","4","regular","4500"
"1樓2號門","9","6","regular","4500"
"1樓2號門","9","8","regular","4500"
"1樓2號門","9","10","regular","4500"
"1樓2號門","9","12","regular","4500"
"1樓1號門","9","5","regular","4500"
"1樓1號門","9","3","regular","4500"
"1樓1號門","9","1","regular","4500"
"1樓1號門","9","11","regular","4500"
"1樓1號門","9","9","regular","4500"
"1樓1號門","9","7","regular","4500"
"1樓2號門","10","2","regular","4500"
"1樓2號門","10","4","regular","4500"
"1樓2號門","10","6","regular","4500"
"1樓1號門","10","5","regular","4500"
"1樓1號門","10","3","regular","4500"
"1樓1號門","10","1","regular","4500"
"1樓1號門","10","11","regular","4500"
"1樓1號門","10","9","regular","4500"
"1樓1號門","10","7","regular","4500"
"1樓2號門","10","8","regular","4500"
"1樓2號門","10","10","regular","4500"
"1樓2號門","11","2","console","4500"
"1樓2號門","11","4","console","4500"
"1樓2號門","11","6","console","4500"
"1樓1號門","11","5","console","4500"
"1樓1號門","11","3","console","4500"
"1樓1號門","11","1","console","4500"
"1樓2號門","11","8","console","4500"
"1樓2號門","11","10","console","4500"
"1樓1號門","11","9","console","4500"
"1樓1號門","11","7","console","4500"
"1樓2號門","12","2","console",""
"1樓2號門","12","4","console","4500"
"1樓2號門","12","6","console","4500"
"1樓1號門","12","5","console",""
"1樓1號門","12","3","console",""
"1樓1號門","12","1","console",""
"1樓1號門","12","7","console","4500"
"1樓1號門","1","17","regular","3300"
"1樓1號門","1","15","regular","3300"
"1樓1號門","1","13","regular","3300"
"1樓1號門","1","23","regular","2500"
"1樓1號門","1","21","regular","2500"
"1樓1號門","1","19","regular","3300"
"1樓1號門","1","31","regular","2100"
"1樓1號門","1","29","regular","2100"
"1樓1號門","1","27","regular","2100"
"1樓1號門","1","25","regular","2500"
"1樓1號門","2","17","regular","3300"
"1樓1號門","2","15","regular","3300"
"1樓1號門","2","13","regular","3300"
"1樓1號門","2","23","regular","2500"
"1樓1號門","2","21","regular","2500"
"1樓1號門","2","19","regular","3300"
"1樓1號門","2","31","regular","2100"
"1樓1號門","2","29","regular","2100"
"1樓1號門","2","27","regular","2100"
"1樓1號門","2","25","regular","2500"
"1樓1號門","3","17","regular","3300"
"1樓1號門","3","15","regular","3300"
"1樓1號門","3","13","regular","3300"
"1樓1號門","3","23","regular","2500"
"1樓1號門","3","21","regular","2500"
"1樓1號門","3","19","regular","3300"
"1樓1號門","3","31","regular","2100"
"1樓1號門","3","29","regular","2100"
"1樓1號門","3","27","regular","2100"
"1樓1號門","3","25","regular","2500"
"1樓1號門","4","17","regular","3300"
"1樓1號門","4","15","regular","3300"
"1樓1號門","4","13","regular","3300"
"1樓1號門","4","23","regular","2500"
"1樓1號門","4","21","regular","2500"
"1樓1號門","4","19","regular","3300"
"1樓1號門","4","31","staff",""
"1樓1號門","4","29","regular","2100"
"1樓1號門","4","27","regular","2100"
"1樓1號門","4","25","regular","2500"
"1樓1號門","5","17","regular","3300"
"1樓1號門","5","15","regular","3300"
"1樓1號門","5","13","regular","3300"
"1樓1號門","5","23","regular","2500"
"1樓1號門","5","21","regular","2500"
"1樓1號門","5","19","regular","3300"
"1樓1號門","5","29","regular","2100"
"1樓1號門","5","27","regular","2100"
"1樓1號門","5","25","regular","2500"
"1樓1號門","6","17","regular","3300"
"1樓1號門","6","15","regular","3300"
"1樓1號門","6","13","regular","3300"
"1樓1號門","6","23","regular","2500"
"1樓1號門","6","21","regular","2500"
"1樓1號門","6","19","regular","3300"
"1樓1號門","6","25","regular","2500"
"1樓1號門","7","17","regular","3300"
"1樓1號門","7","15","regular","3300"
"1樓1號門","7","13","regular","3300"
"1樓1號門","7","23","regular","2500"
"1樓1號門","7","21","regular","2500"
"1樓1號門","7","19","regular","3300"
"1樓1號門","9","17","regular","2500"
"1樓1號門","9","15","regular","3300"
"1樓1號門","9","13","regular","3300"
"1樓1號門","8","19","regular","3300"
"1樓1號門","8","17","regular","3300"
"1樓1號門","8","15","regular","3300"
"1樓1號門","8","13","regular","3300"
"1樓1號門","10","13","regular","3300"
"1樓2號門","1","14","regular","3300"
"1樓2號門","1","16","regular","3300"
"1樓2號門","1","18","regular","3300"
"1樓2號門","1","26","regular","2500"
"1樓2號門","1","28","regular","2500"
"1樓2號門","1","30","regular","2100"
"1樓2號門","1","32","regular","2100"
"1樓2號門","1","20","regular","3300"
"1樓2號門","1","22","regular","2500"
"1樓2號門","1","24","regular","2500"
"1樓2號門","2","12","regular","3300"
"1樓2號門","2","14","regular","3300"
"1樓2號門","2","16","regular","3300"
"1樓2號門","2","24","regular","2500"
"1樓2號門","2","26","regular","2500"
"1樓2號門","2","28","regular","2100"
"1樓2號門","2","30","regular","2100"
"1樓2號門","2","18","regular","3300"
"1樓2號門","2","20","regular","2500"
"1樓2號門","2","22","regular","2500"
"1樓2號門","3","14","regular","3300"
"1樓2號門","3","16","regular","3300"
"1樓2號門","3","18","regular","3300"
"1樓2號門","3","26","regular","2500"
"1樓2號門","3","28","regular",""
"1樓2號門","3","30","regular","2100"
"1樓2號門","3","32","regular","2100"
"1樓2號門","3","20","regular","3300"
"1樓2號門","3","22","regular","2500"
"1樓2號門","3","24","regular","2500"
"1樓2號門","4","12","regular","3300"
"1樓2號門","4","14","regular","3300"
"1樓2號門","4","16","regular","3300"
"1樓2號門","4","24","regular","2500"
"1樓2號門","4","26","regular","2100"
"1樓2號門","4","28","regular","2100"
"1樓2號門","4","30","staff",""
"1樓2號門","4","18","regular","3300"
"1樓2號門","4","20","regular","2500"
"1樓2號門","4","22","regular","2500"
"1樓2號門","5","14","regular","3300"
"1樓2號門","5","16","regular","3300"
"1樓2號門","5","18","regular","3300"
"1樓2號門","5","20","regular","3300"
"1樓2號門","5","22","regular","2500"
"1樓2號門","5","24","regular","2500"
"1樓2號門","5","26","regular","2500"
"1樓2號門","5","28","regular","2100"
"1樓2號門","5","30","regular","2100"
"1樓2號門","6","12","regular","3300"
"1樓2號門","6","14","regular","3300"
"1樓2號門","6","16","regular","3300"
"1樓2號門","6","18","regular","3300"
"1樓2號門","6","20","regular","2500"
"1樓2號門","6","22","regular","2500"
"1樓2號門","6","24","regular","2500"
"1樓2號門","7","14","regular","3300"
"1樓2號門","7","16","regular","3300"
"1樓2號門","7","18","regular","3300"
"1樓2號門","7","20","regular","3300"
"1樓2號門","7","22","regular","2500"
"1樓2號門","7","24","regular","2500"
"1樓2號門","8","12","regular","3300"
"1樓2號門","8","14","regular","3300"
"1樓2號門","8","16","regular","3300"
"1樓2號門","8","18","regular","3300"
"1樓2號門","9","14","regular","3300"
"1樓2號門","9","16","regular","3300"
"1樓2號門","9","18","regular","3300"
"1樓2號門","10","12","regular","3300"
"2樓8號門","A1","2","console",""
"2樓8號門","A1","4","console",""
"2樓8號門","A1","6","console",""
"2樓8號門","A1","8","console",""
"2樓8號門","A1","10","console",""
"2樓8號門","A1","12","regular",""
"2樓7號門","A1","5","console",""
"2樓7號門","A1","3","console",""
"2樓7號門","A1","1","console",""
"2樓7號門","A1","11","regular",""
"2樓7號門","A1","9","console",""
"2樓7號門","A1","7","console",""
"2樓8號門","B2","2","regular","2500"
"2樓8號門","B2","4","regular","2500"
"2樓8號門","B2","6","regular","2500"
"2樓7號門","B2","5","regular","2500"
"2樓7號門","B2","3","regular","2500"
"2樓7號門","B2","1","regular","2500"
"2樓7號門","B2","11","regular","2500"
"2樓7號門","B2","9","regular","2500"
"2樓7號門","B2","7","regular","2500"
"2樓7號門","B2","19","regular","2500"
"2樓7號門","B2","17","regular","2500"
"2樓7號門","B2","15","regular","2500"
"2樓7號門","B2","13","regular","2500"
"2樓8號門","B2","8","regular","2500"
"2樓8號門","B2","10","regular","2500"
"2樓8號門","B2","12","regular","2500"
"2樓8號門","B2","14","regular","2500"
"2樓8號門","B2","16","regular","2500"
"2樓8號門","B2","18","regular","2500"
"2樓8號門","B2","20","regular","2500"
"2樓8號門","B1","2","regular","3300"
"2樓8號門","B1","4","regular","3300"
"2樓8號門","B1","6","regular","3300"
"2樓7號門","B1","5","regular","3300"
"2樓7號門","B1","3","regular","3300"
"2樓7號門","B1","1","regular","3300"
"2樓7號門","B1","11","regular","3300"
"2樓7號門","B1","9","regular","3300"
